species,group,taxon,AphiaID
lumpenus fabricii,FISH,fish,127073
ecsenius australianus,FISH,fish,277648
lycodes nakamurae,FISH,fish,274112
wetmorella tanakai,FISH,fish,398570
argyrops bleekeri,FISH,fish,279055
entomacrodus rofeni,FISH,fish,277251
synodus hoshinonis,FISH,fish,217668
branchiostegus doliatus,FISH,fish,367287
lethrinus olivaceus,FISH,fish,212069
scomber australasicus,FISH,fish,219715
stemonosudis macrura,FISH,fish,220334
macropharyngodon bipartitus,FISH,fish,219032
nemipterus nemurus,FISH,fish,218522
oxycheilinus digramma,FISH,fish,277996
hoplostethus atlanticus,FISH,fish,126402
ogcocephalus vespertilio,FISH,fish,159195
benthodesmus simonyi,FISH,fish,127087
eviota hoesei,FISH,fish,388749
nemichthys curvirostris,FISH,fish,126305
entomacrodus marmoratus,FISH,fish,310506
citharichthys spilopterus,FISH,fish,159166
bathophilus ater,FISH,fish,217610
cirrhitus rivulatus,FISH,fish,279160
symphurus arawak,FISH,fish,274232
chromis flavicauda,FISH,fish,273725
scarus xanthopleura,FISH,fish,276065
ahliesaurus brevis,FISH,fish,272078
macropharyngodon geoffroy,FISH,fish,219029
triacanthodes anomalus,FISH,fish,277024
sarritor frenatus,FISH,fish,254374
halidesmus scapularis,FISH,fish,218316
myrichthys maculosus,FISH,fish,217578
gnathophis castlei,FISH,fish,271754
ceratias uranoscopus,FISH,fish,158796
lepidopus altifrons,FISH,fish,159367
herklotsichthys quadrimaculatus,FISH,fish,212264
pomacentrus tripunctatus,FISH,fish,212968
amphiprion akindynos,FISH,fish,278392
plesiops gracilis,FISH,fish,276815
solenostomus armatus,FISH,fish,278938
sebastes miniatus,FISH,fish,274820
oligoplites refulgens,FISH,fish,276358
lipogenys gillii,FISH,fish,158559
stegastes variabilis,FISH,fish,276688
bodianus flavipinnis,FISH,fish,273530
pteragogus aurigarius,FISH,fish,279209
cubiceps capensis,FISH,fish,159423
takifugu snyderi,FISH,fish,278429
chaetodon ornatissimus,FISH,fish,273352
congrogadus spinifer,FISH,fish,280378
argyripnus iridescens,FISH,fish,274966
halichoeres signifer,FISH,fish,275799
alectis ciliaris,FISH,fish,159629
chalixodytes tauensis,FISH,fish,278671
nemaclinus atelestos,FISH,fish,281649
leptostomias haplocaulus,FISH,fish,127356
pseudochromis fuscus,FISH,fish,278179
parablennius salensis,FISH,fish,273135
centropyge fisheri,FISH,fish,211778
ectreposebastes niger,FISH,fish,276270
sebastes pinniger,FISH,fish,274836
gigantura indica,FISH,fish,158858
bathyonus pectoralis,FISH,fish,272797
stegastes rectifraenum,FISH,fish,276680
stegastes limbatus,FISH,fish,218846
rhinopias eschmeyeri,FISH,fish,218088
strongylura exilis,FISH,fish,275978
meuschenia trachylepis,FISH,fish,277615
muraena augusti,FISH,fish,299565
teixeirichthys jordani,FISH,fish,212792
congiopodus spinifer,FISH,fish,221441
notoclinus fenestratus,FISH,fish,281781
protemblemaria perla,FISH,fish,282378
desmodema lorum,FISH,fish,275872
sebastes serriceps,FISH,fish,274853
xenomystax congroides,FISH,fish,283191
notarius grandicassis,FISH,fish,281766
caracanthus unipinna,FISH,fish,220365
helcogramma solorensis,FISH,fish,279248
malacoctenus aurolineatus,FISH,fish,281491
parajulis poecilepterus,FISH,fish,282049
rhinecanthus lunula,FISH,fish,277182
balistoides conspicillum,FISH,fish,219876
plectorhinchus playfairi,FISH,fish,218554
citharichthys gymnorhinus,FISH,fish,158793
talismania antillarum,FISH,fish,126711
hyporhamphus meeki,FISH,fish,159280
oxymonacanthus longirostris,FISH,fish,220063
polyipnus kiwiensis,FISH,fish,274985
liparis callyodon,FISH,fish,274505
xeneretmus leiops,FISH,fish,283172
parma unifasciata,FISH,fish,282160
polydactylus opercularis,FISH,fish,367295
pseudobalistes fuscus,FISH,fish,219885
helcogramma rharhabe,FISH,fish,343722
scombrops boops,FISH,fish,220088
sardinella richardsoni,FISH,fish,272275
odontopyxis trispinosa,FISH,fish,281836
alionematichthys piger,FISH,fish,474918
malacoctenus macropus,FISH,fish,281500
chaetodon reticulatus,FISH,fish,273359
coris auricularis,FISH,fish,273548
euclichthys polynemus,FISH,fish,280735
amphiprion frenatus,FISH,fish,278394
trinectes fimbriatus,FISH,fish,275997
heniochus chrysostomus,FISH,fish,276748
plotosus japonicus,FISH,fish,398360
patagonotothen jordani,FISH,fish,279341
sebastes polyspinis,FISH,fish,274837
cymatoceps nasutus,FISH,fish,218601
polysteganus cerasinus,FISH,fish,1006788
protomyctophum choriodon,FISH,fish,234663
bassozetus glutinosus,FISH,fish,217796
pentapodus trivittatus,FISH,fish,282211
lutjanus novemfasciatus,FISH,fish,276544
istiompax indica,FISH,fish,712905
kali kerberti,FISH,fish,302801
pomatoschistus norvegicus,FISH,fish,126929
lycodes palearis,FISH,fish,254585
entomacrodus longicirrus,FISH,fish,712836
diplodus sargus,FISH,fish,127053
crenidens macracanthus,FISH,fish,1042749
cirrhilabrus lanceolatus,FISH,fish,277852
sebastiscus marmoratus,FISH,fish,282738
peristedion cataphractum,FISH,fish,127233
taaningichthys bathyphilus,FISH,fish,126631
ophioscion scierus,FISH,fish,281905
suruga fundicola,FISH,fish,282912
thalassoma ballieui,FISH,fish,273577
yarica hyalosoma,FISH,fish,1016379
ecsenius nalolo,FISH,fish,219275
urocampus carinirostris,FISH,fish,283090
pristiapogon abrogramma,FISH,fish,712694
cynoglossus monopus,FISH,fish,274215
calamopteryx goslinei,FISH,fish,280019
olisthops cyanomelas,FISH,fish,319734
eumesogrammus praecisus,FISH,fish,159817
apolemichthys griffisi,FISH,fish,277565
gorgasia sillneri,FISH,fish,217549
sebastes rufus,FISH,fish,274847
iniistius melanopus,FISH,fish,712763
epinephelus summana,FISH,fish,218238
cheilodipterus novemstriatus,FISH,fish,209374
myoxocephalus aenaeus,FISH,fish,159519
eurypegasus draconis,FISH,fish,218161
diaphus lucidus,FISH,fish,126593
coelorinchus fasciatus,FISH,fish,280277
diancistrus fuscus,FISH,fish,280528
haemulon bonariense,FISH,fish,275722
macrourus carinatus,FISH,fish,217773
istiblennius lineatus,FISH,fish,219296
phyllogobius platycephalops,FISH,fish,282252
canthigaster janthinoptera,FISH,fish,219940
dinoperca petersi,FISH,fish,220085
trigla lyra,FISH,fish,127266
lestidiops mirabilis,FISH,fish,272093
anarchias similis,FISH,fish,158581
arcygobius baliurus,FISH,fish,279687
stellifer rastrifer,FISH,fish,276168
callogobius depressus,FISH,fish,278877
morone saxatilis,FISH,fish,151179
diaphus adenomus,FISH,fish,126587
heniochus diphreutes,FISH,fish,218763
hyporhamphus snyderi,FISH,fish,272198
scorpaena stephanica,FISH,fish,274737
sparisoma griseorubrum,FISH,fish,273776
wetmorella albofasciata,FISH,fish,219069
enneapterygius shaoi,FISH,fish,398617
apterichtus klazingai,FISH,fish,217558
amphiprion latezonatus,FISH,fish,278395
callionymus tethys,FISH,fish,273232
stenotomus chrysops,FISH,fish,159811
myrophis punctatus,FISH,fish,158643
