species,taxon,am_mapped,mob,trp,len,wcol
dardanus hessii,crustacea_arthropods,TRUE,mob,ter,vsm,ben
dardanus insignis,crustacea_arthropods,TRUE,mig,ter,vsm,ben
dardanus lagopodes,crustacea_arthropods,TRUE,mig,ter,vsm,rf
dardanus megistos,crustacea_arthropods,TRUE,mig,sec,med,rf
dardanus pedunculatus,crustacea_arthropods,TRUE,mob,apex,vsm,ben
dardanus sanguinocarpus,crustacea_arthropods,TRUE,mob,ter,vsm,ben
dardanus scutellatus,crustacea_arthropods,TRUE,mob,ter,vsm,rf
dardanus setifer,crustacea_arthropods,TRUE,mig,ter,vsm,rf
dardanus tinctor,crustacea_arthropods,TRUE,mob,ter,vsm,ben
dardanus venosus,crustacea_arthropods,TRUE,mig,ter,tiny,ben
dardanus woodmasoni,crustacea_arthropods,TRUE,mob,ter,vsm,ben
dascyllus albisella,fish,TRUE,mob,sec,sm,rf
dascyllus aruanus,fish,TRUE,mob,ter,sm,rf
dascyllus carneus,fish,TRUE,mob,sec,vsm,rf
dascyllus flavicaudus,fish,TRUE,mob,sec,sm,rf
dascyllus marginatus,fish,TRUE,mob,sec,vsm,rf
dascyllus melanurus,fish,TRUE,mob,sec,sm,rf
dascyllus reticulatus,fish,TRUE,mob,ter,sm,rf
dascyllus trimaculatus,fish,TRUE,mob,sec,sm,rf
dasmosmilia lymani,corals,TRUE,ses,sec,vsm,rf
dasmosmilia variegata,corals,TRUE,ses,sec,vsm,rf
dasyatis brevis,elasmobranchs,TRUE,mob,ter,huge,ben
dasyatis chrysonota,elasmobranchs,TRUE,mob,ter,lg,ben
dasyatis hypostigma,elasmobranchs,TRUE,mob,ter,lg,bp
dasyatis marmorata,elasmobranchs,TRUE,mob,ter,lg,ben
dasyatis pastinaca,elasmobranchs,TRUE,mob,apex,lg,ben
dasyatis thetidis,elasmobranchs,TRUE,mob,ter,vlg,rf
dasyatis tortonesei,elasmobranchs,TRUE,mob,apex,vlg,ben
dasybranchus caducus,polychaetes,TRUE,sed,pri,med,ben
dasybranchus lumbricoides,polychaetes,TRUE,sed,pri,sm,ben
dasybranchus lunulatus,polychaetes,TRUE,sed,pri,med,ben
dasycaris zanzibarica,crustacea_arthropods,TRUE,mig,sec,vsm,ben
dasycottus setiger,fish,TRUE,mob,ter,ml,ben
davidaster discoideus,echinoderms,TRUE,sed,ter,vsm,rf
davidaster rubiginosus,echinoderms,TRUE,sed,ter,vsm,rf
davidijordania poecilimon,fish,TRUE,mob,sec,sm,ben
deania calcea,elasmobranchs,TRUE,mob,apex,vlg,ben
deania hystricosa,elasmobranchs,TRUE,mob,apex,vlg,ben
deania profundorum,elasmobranchs,TRUE,mob,apex,vlg,ben
deania quadrispinosa,elasmobranchs,TRUE,mob,apex,vlg,ben
decapterus koheru,fish,TRUE,mob,ter,ml,pel
decapterus kurroides,fish,TRUE,mob,ter,ml,rf
decapterus macarellus,fish,TRUE,mob,ter,med,pel
decapterus macrosoma,fish,TRUE,mob,ter,med,rf
decapterus maruadsi,fish,TRUE,mob,ter,med,rf
decapterus muroadsi,fish,TRUE,mob,ter,ml,pel
decapterus punctatus,fish,TRUE,mob,ter,med,rf
decapterus russelli,fish,TRUE,mob,ter,med,bp
decapterus tabl,fish,TRUE,mob,ter,ml,ben
decipifus sixaolus,molluscs,TRUE,ses,ter,tiny,ben
decodon grandisquamis,fish,FALSE,mob,ter,med,ben
decodon melasma,fish,TRUE,mob,ter,med,rf
decodon pacificus,fish,FALSE,mob,ter,med,ben
decodon puellaris,fish,TRUE,mob,ter,ml,rf
decolopoda australis,crustacea_arthropods,TRUE,mob,apex,tiny,ben
decoradrillia pulchella,molluscs,TRUE,ses,ter,vsm,ben
dellichthys morelandi,fish,TRUE,mob,sec,sm,ben
delphinapterus leucas,marine_mammals,TRUE,mig,apex,huge,pel
delphinus delphis,marine_mammals,TRUE,mob,apex,huge,pel
deltentosteus quadrimaculatus,fish,TRUE,sed,ter,sm,ben
demania garthi,crustacea_arthropods,TRUE,mig,ter,vsm,ben
demania mortenseni,crustacea_arthropods,TRUE,mig,ter,vsm,ben
democrinus brevis,echinoderms,TRUE,sed,sec,vsm,ben
dendraster excentricus,echinoderms,TRUE,mob,ter,vlg,ben
dendrilla rosea,sponges,TRUE,ses,pri,vsm,ben
dendrochirus barberi,fish,TRUE,mob,apex,med,rf
dendrochirus bellus,fish,TRUE,mob,ter,sm,ben
dendrochirus biocellatus,fish,TRUE,mob,ter,sm,rf
dendrochirus brachypterus,fish,TRUE,mob,ter,sm,rf
dendrochirus hemprichi,fish,TRUE,mob,ter,sm,pel
dendrochirus zebra,fish,TRUE,mob,ter,med,rf
dendrodoris arborescens,molluscs,TRUE,sed,sec,vsm,ben
dendrodoris fumata,molluscs,TRUE,sed,sec,vsm,ben
dendrodoris krebsii,molluscs,TRUE,sed,sec,vsm,ben
dendrodoris krusensternii,molluscs,TRUE,sed,sec,vsm,ben
dendrodoris nigra,molluscs,TRUE,sed,sec,sm,ben
dendrodoris tuberculosa,molluscs,TRUE,mob,sec,med,ben
dendrodoris warta,molluscs,TRUE,sed,sec,vsm,ben
dendronephthya mucronata,corals,TRUE,ses,sec,sm,ben
dendronotus frondosus,molluscs,TRUE,sed,apex,vsm,ben
dendronotus iris,molluscs,TRUE,sed,ter,med,pel
dendronotus robustus,molluscs,TRUE,sed,apex,vsm,ben
dendrophyllia alcocki,corals,TRUE,ses,sec,vsm,rf
dendrophyllia alternata,corals,TRUE,ses,sec,vsm,rf
dendrophyllia arbuscula,corals,TRUE,ses,sec,vsm,rf
dendrophyllia cornigera,corals,TRUE,ses,sec,vsm,rf
dendrophyllia ramea,corals,TRUE,ses,sec,vsm,rf
dendrophysa russelii,fish,TRUE,mob,ter,med,ben
dendropoma exsertum,molluscs,TRUE,sed,sec,tiny,ben
dentatherina merceri,fish,TRUE,mob,ter,vsm,pel
dentatisyllis carolinae,polychaetes,TRUE,mob,sec,vsm,ben
dentex abei,fish,TRUE,mig,ter,ml,bp
dentex angolensis,fish,TRUE,mig,ter,ml,ben
dentex barnardi,fish,TRUE,mig,ter,ml,bp
dentex canariensis,fish,TRUE,mig,ter,med,ben
dentex carpenteri,fish,FALSE,mig,ter,med,rf
dentex congoensis,fish,TRUE,mig,ter,med,ben
dentex dentex,fish,TRUE,mig,apex,ml,bp
dentex fourmanoiri,fish,FALSE,mig,ter,med,ben
dentex gibbosus,fish,TRUE,mig,apex,ml,bp
dentex hypselosomus,fish,FALSE,mig,ter,ml,ben
dentex macrophthalmus,fish,TRUE,mig,ter,ml,bp
dentex maroccanus,fish,TRUE,mig,ter,med,ben
dentex spariformis,fish,TRUE,mig,ter,sm,bp
dentex tumifrons,fish,TRUE,mig,ter,med,ben
dentimargo aureocinctus,molluscs,TRUE,ses,ter,tiny,ben
dentimargo eburneolus,molluscs,TRUE,ses,ter,tiny,ben
dentimargo reductus,molluscs,TRUE,ses,ter,tiny,ben
dentiraja australis,elasmobranchs,TRUE,mob,apex,lg,ben
dentiraja cerva,elasmobranchs,TRUE,mob,apex,lg,ben
dentiraja confusa,elasmobranchs,TRUE,mob,apex,lg,bp
dentiraja endeavouri,elasmobranchs,FALSE,mob,apex,ml,bp
dentiraja falloargus,elasmobranchs,TRUE,mob,apex,ml,bp
dentiraja flindersi,elasmobranchs,FALSE,mob,apex,ml,bp
dentiraja healdi,elasmobranchs,TRUE,mob,apex,lg,ben
dentiraja lemprieri,elasmobranchs,TRUE,mob,apex,lg,ben
dentiraja oculus,elasmobranchs,FALSE,mob,apex,lg,bp
dentiraja polyommata,elasmobranchs,TRUE,mob,apex,ml,ben
deosergestes corniculum,crustacea_arthropods,TRUE,mob,ter,tiny,pel
deosergestes henseni,crustacea_arthropods,TRUE,mig,ter,tiny,pel
deosergestes paraseminudus,crustacea_arthropods,TRUE,mob,ter,tiny,pel
dercitus bucklandi,sponges,TRUE,ses,pri,vsm,ben
derichthys serpentinus,fish,TRUE,mob,ter,ml,pel
dermasterias imbricata,echinoderms,TRUE,mob,ter,ml,ben
dermatolepis dermatolepis,fish,TRUE,mob,apex,vlg,rf
dermatolepis inermis,fish,TRUE,mob,apex,vlg,rf
dermatolepis striolata,fish,TRUE,mob,apex,vlg,rf
dermatopsis macrodon,fish,TRUE,sed,ter,sm,rf
dermatopsis multiradiatus,fish,TRUE,sed,sec,sm,rf
dermochelys coriacea,reptiles,TRUE,mig,apex,huge,bp
dermomurex elizabethae,molluscs,TRUE,sed,ter,vsm,ben
dermomurex pauperculus,molluscs,TRUE,ses,ter,vsm,rf
desmacella pumilio,sponges,TRUE,ses,pri,sm,ben
desmapsamma anchorata,sponges,TRUE,ses,pri,tiny,rf
desmodema lorum,fish,TRUE,mob,apex,vlg,pel
desmodema polystictum,fish,TRUE,mob,apex,vlg,pel
desmophyllum dianthus,corals,TRUE,ses,sec,vsm,rf
desmophyllum pertusum,corals,TRUE,ses,sec,vsm,rf
deutella incerta,crustacea_arthropods,TRUE,mob,sec,tiny,ben
dexamine spinosa,crustacea_arthropods,TRUE,mob,sec,tiny,ben
dexillus muelleri,fish,TRUE,mob,ter,med,ben
dexistes rikuzenius,fish,TRUE,mob,ter,med,ben
diacanthurus ecphyma,crustacea_arthropods,TRUE,mig,sec,tiny,ben
diacarnus levii,sponges,TRUE,ses,pri,med,ben
diacarnus spinipoculum,sponges,TRUE,ses,pri,ml,ben
diadema antillarum,echinoderms,TRUE,mob,pri,vsm,rf
diadema mexicanum,echinoderms,TRUE,mob,pri,vsm,ben
diadema paucispinum,echinoderms,TRUE,mob,pri,vsm,ben
diadema savignyi,echinoderms,TRUE,mob,pri,med,ben
diadema setosum,echinoderms,TRUE,mob,pri,vsm,rf
diademichthys lineatus,fish,TRUE,mig,ter,vsm,rf
diadumene cincta,corals,TRUE,ses,sec,vsm,ben
diadumene lineata,corals,TRUE,ses,sec,vsm,ben
diagramma centurio,fish,TRUE,sed,ter,vlg,rf
diagramma labiosum,fish,TRUE,mob,ter,vlg,bp
diagramma melanacrum,fish,TRUE,mob,ter,ml,bp
diagramma pictum,fish,TRUE,sed,ter,lg,rf
diala albugo,molluscs,TRUE,ses,pri,tiny,ben
diala semistriata,molluscs,TRUE,ses,pri,vsm,ben
dialommus fuscus,fish,FALSE,mob,ter,vsm,ben
dialommus macrocephalus,fish,FALSE,mob,ter,sm,ben
dialychone collaris,polychaetes,TRUE,ses,pri,sm,ben
diamysis bahirensis,crustacea_arthropods,TRUE,mig,sec,tiny,ben
diancistrus alleni,fish,TRUE,sed,sec,vsm,rf
diancistrus altidorsalis,fish,TRUE,sed,ter,sm,rf
diancistrus beateae,fish,TRUE,sed,ter,sm,rf
diancistrus erythraeus,fish,TRUE,sed,sec,vsm,rf
diancistrus fuscus,fish,TRUE,sed,sec,vsm,rf
diancistrus jeffjohnsoni,fish,TRUE,sed,ter,vsm,ben
diancistrus karinae,fish,TRUE,sed,ter,sm,bp
diancistrus longifilis,fish,TRUE,sed,sec,sm,rf
diancistrus novaeguineae,fish,TRUE,mob,sec,sm,rf
diancistrus tongaensis,fish,TRUE,sed,sec,vsm,rf
diaphana brazieri,molluscs,TRUE,sed,ter,tiny,ben
diaphana californica,molluscs,TRUE,sed,ter,tiny,ben
diaphana globosa,molluscs,TRUE,sed,ter,tiny,ben
diaphana hiemalis,molluscs,TRUE,sed,ter,tiny,ben
diaphana minuta,molluscs,TRUE,sed,ter,tiny,ben
diaphana paessleri,molluscs,TRUE,ses,ter,tiny,ben
diaphoreolis viridis,molluscs,TRUE,sed,ter,tiny,ben
diaphorosoma magnavena,polychaetes,TRUE,sed,pri,vsm,ben
diaphus adenomus,fish,TRUE,mob,ter,med,pel
diaphus aliciae,fish,TRUE,mob,ter,vsm,pel
diaphus anderseni,fish,TRUE,mob,ter,vsm,pel
diaphus antonbruuni,fish,TRUE,mob,ter,vsm,pel
diaphus arabicus,fish,TRUE,mob,ter,sm,pel
diaphus bertelseni,fish,TRUE,mob,ter,sm,pel
diaphus brachycephalus,fish,TRUE,mob,ter,sm,pel
diaphus chrysorhynchus,fish,TRUE,mob,ter,tiny,pel
diaphus coeruleus,fish,TRUE,mob,ter,sm,pel
diaphus danae,fish,TRUE,mob,ter,sm,pel
diaphus diadematus,fish,TRUE,mob,ter,vsm,pel
diaphus diademophilus,fish,TRUE,mob,ter,vsm,bp
diaphus dumerilii,fish,TRUE,mob,sec,sm,pel
diaphus effulgens,fish,TRUE,mob,sec,sm,pel
diaphus fragilis,fish,TRUE,mob,ter,sm,pel
diaphus fulgens,fish,TRUE,mob,ter,vsm,pel
diaphus garmani,fish,TRUE,mob,ter,vsm,pel
diaphus gigas,fish,TRUE,mob,ter,sm,pel
diaphus holti,fish,TRUE,mob,ter,vsm,pel
diaphus hudsoni,fish,TRUE,mob,ter,sm,pel
diaphus impostor,fish,TRUE,mob,ter,vsm,pel
diaphus jenseni,fish,TRUE,mob,ter,vsm,pel
diaphus kapalae,fish,TRUE,mob,ter,vsm,pel
diaphus knappi,fish,TRUE,mob,ter,med,bp
diaphus kuroshio,fish,TRUE,mob,ter,vsm,pel
diaphus lobatus,fish,TRUE,mob,ter,sm,pel
diaphus lucidus,fish,TRUE,mob,sec,sm,pel
diaphus luetkeni,fish,TRUE,mob,ter,vsm,pel
diaphus malayanus,fish,TRUE,mob,ter,vsm,pel
diaphus mascarensis,fish,TRUE,mob,ter,sm,ben
diaphus meadi,fish,TRUE,mob,sec,vsm,pel
diaphus megalops,fish,TRUE,mob,ter,sm,pel
diaphus metopoclampus,fish,TRUE,mob,ter,sm,pel
diaphus mollis,fish,TRUE,mob,sec,vsm,pel
diaphus nielseni,fish,TRUE,mob,ter,vsm,pel
diaphus ostenfeldi,fish,TRUE,mob,ter,sm,pel
diaphus pacificus,fish,TRUE,mob,ter,sm,pel
diaphus parri,fish,TRUE,mob,ter,vsm,pel
diaphus perspicillatus,fish,TRUE,mob,ter,vsm,pel
diaphus phillipsi,fish,TRUE,mob,ter,vsm,pel
diaphus problematicus,fish,TRUE,mob,sec,sm,pel
diaphus rafinesquii,fish,TRUE,mob,ter,vsm,pel
diaphus regani,fish,TRUE,mob,ter,tiny,pel
diaphus richardsoni,fish,TRUE,mob,ter,vsm,pel
diaphus sagamiensis,fish,TRUE,mob,ter,sm,pel
diaphus schmidti,fish,TRUE,mob,ter,vsm,bp
diaphus signatus,fish,TRUE,mob,ter,vsm,pel
diaphus similis,fish,TRUE,mob,ter,sm,pel
diaphus splendidus,fish,TRUE,mob,sec,sm,pel
diaphus suborbitalis,fish,TRUE,mob,ter,sm,pel
diaphus subtilis,fish,TRUE,mob,ter,sm,pel
diaphus taaningi,fish,TRUE,mob,ter,vsm,pel
diaphus termophilus,fish,TRUE,mob,ter,sm,pel
diaphus theta,fish,TRUE,mob,ter,sm,pel
diaphus thiollierei,fish,TRUE,mob,ter,sm,pel
diaphus vanhoeffeni,fish,TRUE,mob,ter,vsm,pel
diaphus watasei,fish,TRUE,mig,ter,sm,bp
diapterus auratus,fish,TRUE,mob,sec,med,ben
diapterus peruvianus,fish,TRUE,sed,ter,med,ben
diapterus rhombeus,fish,TRUE,mob,ter,med,ben
diastobranchus capensis,fish,TRUE,mig,apex,huge,ben
diastylis anderssoni,crustacea_arthropods,TRUE,mob,pri,tiny,ben
diastylis corniculata,crustacea_arthropods,TRUE,mob,pri,tiny,ben
diastylis goodsiri,crustacea_arthropods,TRUE,mob,pri,tiny,ben
diastylis lepechini,crustacea_arthropods,TRUE,mob,pri,tiny,ben
diastylis lucifera,crustacea_arthropods,TRUE,mob,pri,tiny,ben
diastylis mawsoni,crustacea_arthropods,TRUE,mob,pri,tiny,ben
diastylis scorpioides,crustacea_arthropods,TRUE,mob,pri,tiny,ben
diastylis spinulosa,crustacea_arthropods,TRUE,mob,pri,vsm,ben
diastylopsis annulata,crustacea_arthropods,TRUE,mob,pri,tiny,ben
diastylopsis goekei,crustacea_arthropods,TRUE,mob,pri,tiny,ben
diaulula greeleyi,molluscs,TRUE,sed,sec,vsm,ben
diaulula sandiegensis,molluscs,TRUE,sed,sec,sm,ben
dibaphimitra florida,molluscs,TRUE,ses,ter,sm,rf
dibrachichthys melanurus,fish,TRUE,sed,ter,vsm,pel
dibranchus atlanticus,fish,TRUE,sed,ter,med,ben
dibranchus erinaceus,fish,TRUE,sed,ter,sm,ben
dibranchus hystrix,fish,TRUE,sed,ter,sm,ben
dibranchus japonicus,fish,TRUE,sed,ter,med,ben
dibranchus nasutus,fish,TRUE,sed,ter,sm,ben
dibranchus nudivomer,fish,TRUE,sed,ter,sm,ben
dibranchus spinosus,fish,TRUE,sed,ter,sm,ben
dibranchus spongiosa,fish,TRUE,sed,ter,sm,ben
dibranchus tremendus,fish,TRUE,sed,ter,med,ben
dicathais orbita,molluscs,TRUE,sed,ter,vsm,ben
dicentrarchus labrax,fish,TRUE,sed,ter,lg,ben
dicentrarchus punctatus,fish,TRUE,mob,ter,lg,pel
diceratias bispinosus,fish,TRUE,sed,apex,sm,pel
diceratias pileatus,fish,TRUE,sed,apex,med,pel
dichistius capensis,fish,TRUE,mob,ter,ml,rf
dichistius multifasciatus,fish,TRUE,mig,ter,ml,bp
dichotomyctere erythrotaenia,fish,FALSE,mob,ter,sm,ben
dichotomyctere fluviatilis,fish,FALSE,mob,ter,vsm,ben
dichrometra flagellata,echinoderms,TRUE,sed,sec,vsm,ben
dichrometra palmata,echinoderms,TRUE,sed,sec,vsm,rf
dickdellia labioflecta,molluscs,TRUE,sed,sec,tiny,ben
dicologlossa cuneata,fish,TRUE,mob,ter,med,ben
dicologlossa hexophthalma,fish,TRUE,mob,ter,med,ben
dicrolene filamentosa,fish,TRUE,sed,ter,ml,ben
dicrolene introniger,fish,TRUE,sed,ter,ml,ben
dicrolene kanazawai,fish,TRUE,sed,ter,med,ben
dicrolene longimana,fish,TRUE,sed,ter,ml,ben
dicrolene tristis,fish,TRUE,sed,ter,med,ben
dictyosquilla tuberculata,crustacea_arthropods,TRUE,mob,ter,sm,ben
diminovula punctata,molluscs,TRUE,sed,ter,tiny,ben
dinematichthys iluocoeteoides,fish,TRUE,sed,ter,sm,rf
dinolestes lewini,fish,TRUE,mob,ter,vlg,pel
dinoperca petersi,fish,TRUE,sed,ter,lg,rf
diodon eydouxii,fish,TRUE,mob,ter,med,pel
diodon holocanthus,fish,TRUE,mob,ter,med,rf
diodon hystrix,fish,TRUE,mob,ter,lg,rf
diodon liturosus,fish,TRUE,mob,ter,lg,rf
diodon nicthemerus,fish,TRUE,mob,ter,ml,rf
diogenes alias,crustacea_arthropods,TRUE,mig,sec,tiny,ben
diogenes avarus,crustacea_arthropods,TRUE,mig,sec,tiny,ben
diogenes custos,crustacea_arthropods,TRUE,mig,sec,tiny,ben
diogenes dubius,crustacea_arthropods,TRUE,mig,sec,tiny,ben
diogenes edwardsii,crustacea_arthropods,TRUE,mig,sec,tiny,ben
diogenes jousseaumei,crustacea_arthropods,TRUE,mig,sec,tiny,ben
diogenes pallescens,crustacea_arthropods,TRUE,mig,sec,tiny,ben
diogenes planimanus,crustacea_arthropods,TRUE,mig,sec,tiny,ben
diogenichthys atlanticus,fish,TRUE,mob,ter,vsm,pel
diogenichthys laternatus,fish,TRUE,mob,ter,vsm,pel
diogenichthys panurgus,fish,TRUE,mig,ter,vsm,pel
diomedea antipodensis,seabirds,TRUE,mig,apex,lg,pel
diomedea dabbenena,seabirds,FALSE,mig,apex,lg,pel
diomedea epomophora,seabirds,FALSE,mig,apex,vlg,pel
diomedea exulans,seabirds,FALSE,mig,apex,vlg,bp
diomedea sanfordi,seabirds,TRUE,mig,apex,lg,pel
diopatra cuprea,polychaetes,TRUE,sed,sec,vsm,ben
diopatra neapolitana,polychaetes,TRUE,sed,sec,vsm,ben
diopatra neotridens,polychaetes,TRUE,sed,sec,vsm,ben
diopatra ornata,polychaetes,TRUE,sed,sec,vsm,ben
diopatra tridentata,polychaetes,TRUE,sed,sec,vsm,ben
diopederma daniana,echinoderms,TRUE,mob,sec,vsm,ben
diplacanthopoma brachysoma,fish,TRUE,sed,ter,sm,ben
diplasterias brucei,echinoderms,TRUE,mob,ter,ml,ben
diplasterias meridionalis,echinoderms,TRUE,mob,ter,ml,ben
diplastrella bistellata,sponges,TRUE,ses,pri,lg,ben
diplectrum bivittatum,fish,TRUE,mob,ter,med,rf
diplectrum eumelum,fish,TRUE,mob,ter,med,ben
diplectrum euryplectrum,fish,TRUE,mob,ter,med,ben
diplectrum formosum,fish,TRUE,mob,apex,med,rf
diplectrum labarum,fish,TRUE,mob,ter,med,ben
diplectrum macropoma,fish,TRUE,mob,ter,med,ben
diplectrum pacificum,fish,TRUE,mob,ter,ml,ben
diplectrum radiale,fish,TRUE,mob,apex,med,ben
diplectrum rostrum,fish,TRUE,mob,ter,med,bp
diplectrum sciurus,fish,TRUE,mob,ter,med,ben
diploastrea heliopora,corals,TRUE,ses,sec,med,rf
diplobatis colombiensis,elasmobranchs,FALSE,mob,ter,med,ben
diplobatis guamachensis,elasmobranchs,FALSE,mob,ter,med,ben
diplobatis ommata,elasmobranchs,TRUE,mob,ter,med,rf
diplobatis picta,elasmobranchs,TRUE,mob,ter,med,ben
diplocirrus capensis,polychaetes,TRUE,ses,pri,vsm,ben
diplocirrus glaucus,polychaetes,TRUE,ses,pri,vsm,ben
diploconger polystigmatus,fish,TRUE,mig,ter,ml,ben
diplocrepis puniceus,fish,TRUE,mob,ter,sm,ben
diplodontias dilatatus,echinoderms,TRUE,mob,ter,sm,ben
diplodontias singularis,echinoderms,TRUE,mob,ter,sm,ben
diplodus annularis,fish,TRUE,mig,ter,med,bp
diplodus argenteus,fish,TRUE,mig,ter,ml,rf
diplodus bellottii,fish,TRUE,mig,ter,med,bp
diplodus bermudensis,fish,FALSE,mig,ter,ml,bp
diplodus cadenati,fish,TRUE,mig,ter,ml,rf
diplodus capensis,fish,TRUE,mig,sec,med,rf
diplodus caudimacula,fish,TRUE,mig,ter,ml,rf
diplodus cervinus,fish,TRUE,mig,sec,ml,rf
diplodus fasciatus,fish,FALSE,mig,ter,ml,bp
diplodus holbrookii,fish,TRUE,mig,sec,ml,ben
diplodus hottentotus,fish,FALSE,mig,ter,ml,ben
diplodus kotschyi,fish,TRUE,mig,sec,ml,ben
diplodus levantinus,fish,FALSE,mig,ter,med,rf
diplodus noct,fish,TRUE,mig,sec,med,rf
diplodus omanensis,fish,FALSE,mig,ter,ml,ben
diplodus prayensis,fish,FALSE,mig,sec,med,ben
diplodus puntazzo,fish,TRUE,mig,ter,med,bp
diplodus sargus,fish,TRUE,mig,ter,ml,ben
diplodus vulgaris,fish,TRUE,mig,ter,med,bp
diplogrammus goramensis,fish,TRUE,mob,ter,sm,rf
diplogrammus infulatus,fish,TRUE,mob,ter,sm,ben
diplogrammus pauciradiatus,fish,TRUE,mob,ter,vsm,rf
diplogrammus xenicus,fish,TRUE,mob,ter,sm,rf
diplophos orientalis,fish,TRUE,mob,ter,ml,pel
diplophos rebainsi,fish,TRUE,mob,ter,med,pel
diplophos taenia,fish,TRUE,mob,ter,med,pel
diploprion bifasciatum,fish,TRUE,mob,ter,med,rf
diploprion drachi,fish,TRUE,mob,apex,sm,rf
diplopteraster multipes,echinoderms,TRUE,mob,apex,med,ben
diploria labyrinthiformis,corals,TRUE,ses,sec,vsm,rf
diplospinus multistriatus,fish,TRUE,mob,ter,ml,bp
dipolydora armata,polychaetes,TRUE,sed,pri,vsm,ben
dipolydora caulleryi,polychaetes,TRUE,mob,pri,vsm,ben
dipolydora quadrilobata,polychaetes,TRUE,sed,pri,vsm,ben
dipolydora socialis,polychaetes,TRUE,sed,pri,vsm,ben
diproctacanthus xanthurus,fish,TRUE,mob,ter,sm,rf
dipsacaster anoplus,echinoderms,TRUE,mob,ter,med,ben
dipsacaster imperialis,echinoderms,TRUE,mob,ter,med,ben
dipsacaster pretiosus,echinoderms,TRUE,mob,ter,med,ben
dipsastraea albida,corals,FALSE,ses,sec,vsm,rf
dipsastraea amicorum,corals,TRUE,ses,sec,vsm,rf
dipsastraea danai,corals,TRUE,ses,sec,vsm,rf
dipsastraea faviaformis,corals,TRUE,ses,sec,vsm,rf
dipsastraea favus,corals,TRUE,ses,sec,vsm,rf
dipsastraea helianthoides,corals,TRUE,ses,sec,vsm,rf
dipsastraea lacuna,corals,FALSE,ses,sec,vsm,rf
dipsastraea laddi,corals,FALSE,ses,sec,vsm,rf
dipsastraea laxa,corals,TRUE,ses,sec,vsm,rf
dipsastraea lizardensis,corals,TRUE,ses,sec,vsm,rf
dipsastraea maritima,corals,TRUE,ses,sec,vsm,rf
dipsastraea marshae,corals,FALSE,ses,sec,vsm,rf
dipsastraea matthaii,corals,TRUE,ses,sec,vsm,rf
dipsastraea pallida,corals,TRUE,ses,sec,vsm,rf
dipsastraea rosaria,corals,TRUE,ses,sec,vsm,rf
dipsastraea rotumana,corals,TRUE,ses,sec,vsm,rf
dipsastraea speciosa,corals,TRUE,ses,sec,vsm,rf
dipsastraea truncata,corals,TRUE,ses,sec,vsm,rf
dipsastraea veroni,corals,TRUE,ses,sec,vsm,rf
dipsastraea vietnamensis,corals,FALSE,ses,sec,vsm,rf
dipterygonotus balteatus,fish,TRUE,sed,ter,sm,rf
dipturus acrobelus,elasmobranchs,TRUE,mob,ter,vlg,ben
dipturus apricus,elasmobranchs,TRUE,mob,ter,lg,ben
dipturus argentinensis,elasmobranchs,TRUE,mob,ter,lg,bp
dipturus batis,elasmobranchs,TRUE,mob,apex,vlg,ben
dipturus brevicaudatus,elasmobranchs,FALSE,mob,ter,lg,rf
dipturus bullisi,elasmobranchs,TRUE,mob,ter,lg,ben
dipturus campbelli,elasmobranchs,FALSE,mob,ter,lg,ben
dipturus canutus,elasmobranchs,TRUE,mob,ter,lg,bp
dipturus chinensis,elasmobranchs,FALSE,mob,apex,lg,ben
dipturus crosnieri,elasmobranchs,FALSE,mob,ter,lg,ben
dipturus doutrei,elasmobranchs,TRUE,mob,ter,vlg,ben
dipturus garricki,elasmobranchs,TRUE,mob,ter,lg,ben
dipturus gigas,elasmobranchs,FALSE,mob,apex,vlg,ben
dipturus grahami,elasmobranchs,TRUE,mob,ter,lg,rf
dipturus grahamorum,elasmobranchs,FALSE,mob,ter,lg,bp
dipturus gudgeri,elasmobranchs,TRUE,mob,ter,vlg,ben
dipturus innominatus,elasmobranchs,TRUE,mob,ter,lg,ben
dipturus intermedius,elasmobranchs,TRUE,mob,ter,vlg,ben
dipturus johannisdavisi,elasmobranchs,FALSE,mob,ter,lg,ben
dipturus kwangtungensis,elasmobranchs,TRUE,mob,ter,lg,ben
dipturus laevis,elasmobranchs,TRUE,mob,apex,vlg,ben
dipturus lamillai,elasmobranchs,FALSE,mob,ter,lg,ben
dipturus lanceorostratus,elasmobranchs,FALSE,mob,ter,lg,ben
dipturus leptocauda,elasmobranchs,TRUE,mob,ter,lg,ben
dipturus macrocauda,elasmobranchs,FALSE,mob,ter,lg,ben
dipturus melanospilus,elasmobranchs,TRUE,mob,ter,lg,pel
dipturus mennii,elasmobranchs,FALSE,mob,ter,vlg,ben
dipturus nidarosiensis,elasmobranchs,TRUE,mob,ter,vlg,ben
dipturus olseni,elasmobranchs,TRUE,mob,ter,lg,ben
dipturus oregoni,elasmobranchs,TRUE,mob,ter,vlg,ben
dipturus oxyrinchus,elasmobranchs,FALSE,mob,ter,lg,ben
dipturus pullopunctatus,elasmobranchs,TRUE,mob,apex,lg,ben
dipturus queenslandicus,elasmobranchs,FALSE,mob,ter,lg,ben
dipturus springeri,elasmobranchs,TRUE,mob,apex,vlg,ben
dipturus stenorhynchus,elasmobranchs,FALSE,mob,ter,lg,ben
dipturus teevani,elasmobranchs,TRUE,mob,ter,lg,ben
