iucn_sid,sciname,worms_name,mapped,assessment_id,scientific_name,iucn_category,iucn_category_code,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,species_name,subpopulation_name,infra_name,species,subpopulation,infrarank,pop_trend_desc,pop_trend_code
155046,apogon margaritophorus,ostorhinchus margaritophorus,FALSE,4713716,Apogon margaritophorus,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,APOGONIDAE,Apogon,margaritophorus,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155047,cocotropus roseus,cocotropus roseus,FALSE,4714187,Cocotropus roseus,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,SCORPAENIFORMES,APLOACTINIDAE,Cocotropus,roseus,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155048,zoarchias neglectus,zoarchias neglectus,FALSE,115264310,Zoarchias neglectus,Data Deficient,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,STICHAEIDAE,Zoarchias,neglectus,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155049,lepidotrigla kishinouyi,lepidotrigla kishinouyi,FALSE,115264527,Lepidotrigla kishinouyi,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,SCORPAENIFORMES,TRIGLIDAE,Lepidotrigla,kishinouyi,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155050,callogobius clitellus,callogobius clitellus,FALSE,238331593,Callogobius clitellus,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,GOBIIFORMES,GOBIIDAE,Callogobius,clitellus,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155051,microgobius tabogensis,microgobius tabogensis,FALSE,723579,Microgobius tabogensis,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,GOBIIFORMES,GOBIIDAE,Microgobius,tabogensis,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155052,dactyloptena gilberti,dactyloptena gilberti,FALSE,115264983,Dactyloptena gilberti,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,SCORPAENIFORMES,DACTYLOPTERIDAE,Dactyloptena,gilberti,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155053,phucocoetes latitans,phucocoetes latitans,FALSE,115265281,Phucocoetes latitans,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ZOARCIDAE,Phucocoetes,latitans,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155054,plagiogeneion macrolepis,plagiogeneion macrolepis,FALSE,115265484,Plagiogeneion macrolepis,Data Deficient,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EMMELICHTHYIDAE,Plagiogeneion,macrolepis,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155055,himantolophus cornifer,himantolophus cornifer,FALSE,115265698,Himantolophus cornifer,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,LOPHIIFORMES,HIMANTOLOPHIDAE,Himantolophus,cornifer,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155056,cyttus novaezealandiae,cyttus novaezealandiae,FALSE,115265872,Cyttus novaezealandiae,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,ZEIFORMES,CYTTIDAE,Cyttus,novaezealandiae,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155057,uranoscopus japonicus,uranoscopus japonicus,FALSE,4718929,Uranoscopus japonicus,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,URANOSCOPIDAE,Uranoscopus,japonicus,NA,NA,TRUE,FALSE,FALSE,Stable,2
155058,hippoglossina stomata,hippoglossina stomata,FALSE,156335252,Hippoglossina stomata,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,PLEURONECTIFORMES,PARALICHTHYIDAE,Hippoglossina,stomata,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155059,gillellus healae,gillellus healae,TRUE,46218058,Gillellus healae,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,DACTYLOSCOPIDAE,Gillellus,healae,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155060,lepidotrigla venusta,lepidotrigla venusta,FALSE,115266274,Lepidotrigla venusta,Data Deficient,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII,SCORPAENIFORMES,TRIGLIDAE,Lepidotrigla,venusta,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155061,pomacentrus callainus,pomacentrus callainus,FALSE,115266456,Pomacentrus callainus,Least Concern,LC,ANIMALIA,CHORDATA,ACTINOPTERYGII,NOT ASSIGNED,POMACENTRIDAE,Pomacentrus,callainus,NA,NA,TRUE,FALSE,FALSE,Unknown,3
155062,dactylanthias aplodactylus,dactylanthias aplodactylus,FALSE,115266656,Dactylanthias aplodactylus,Data Deficient,DD,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,ANTHIADIDAE,Dactylanthias,aplodactylus,NA,NA,TRUE,FALSE,FALSE,Unknown,3
